dataset,organization,type,description,url
Parametri comunali (annuali) qualità acqua della provincia di enna,AcquaEnna,pdf,Parametri annuali di qualità dell'acqua per comune,https://www.acquaenna.it/index.php/qualita-dellacqua/i-parametri-del-tuo-comune/
Controlli sugli impianti di depurazione di acque reflue urbane,Arpa,pdf,Report sui controlli impianti di depurazione (ultimo aggiornamento: 2019),https://www.arpa.sicilia.it/temi-ambientali/acque/controlli-sugli-impianti-di-depurazione-di-acque-reflue-urbane/#1550575315059-e19e541c-d8a8
Monitoraggio delle acque sotterranee,Arpa,pdf,Report di monitoraggio qualitativo e quantitativo (aggiornato al 2023),https://www.arpa.sicilia.it/temi-ambientali/acque/monitoraggio-acque-sotterranee/#1552917199688-89e82a8d-904d
Monitoraggio acque superficiali – laghi e invasi,Arpa,pdf,Report annuali su laghi e invasi artificiali (aggiornati al 2023),https://www.arpa.sicilia.it/temi-ambientali/acque/monitoraggio-acque-superficiali-invasi/#1552917072837-30721b9a-c3dc
Monitoraggio acque superficiali – fiumi,Arpa,pdf,Report annuali di monitoraggio corsi d'acqua (aggiornati al 2023),https://www.arpa.sicilia.it/temi-ambientali/acque/monitoraggio-acque-superficiali-fiumi/#1552901683121-a9d37e9e-e765
Monitoraggio Acque Superficiali – Acque di Transizione,Arpa,pdf,Report annuali su acque di transizione costiere (aggiornati al 2023),https://www.arpa.sicilia.it/temi-ambientali/acque/monitoraggio-acque-superficiali-acque-di-transizione/#1565079602309-58106817-9549
Monitoraggio della qualità delle acque destinate alla vita dei pesci,Arpa,pdf,Report annuali su idoneità acque dolci per specie ittiche (aggiornati al 2023),https://www.arpa.sicilia.it/temi-ambientali/acque/monitoraggio-della-qualita-delle-acque-destinate-alla-vita-dei-pesci/#1549977510603-99e644e1-25ed
Monitoraggio delle acque superficiali destinate alla produzione di acqua potabile,Arpa,pdf,Report annuali su qualità acque per produzione acqua potabile (aggiornati al 2023),https://www.arpa.sicilia.it/temi-ambientali/acque/monitoraggio-delle-acque-superficiali-destinate-alla-produzione-di-acqua-potabile-2/#1549026248485-6f588022-87ef
Monitoraggio Acque Superficiali Destinate alla Potabilizzazione,Arpa,webgis,Visualizzazione cartografica dei dati di monitoraggio (aggiornato al 2023),https://webgis.arpa.sicilia.it/lizmap/lizmap-web-client/lizmap/www/index.php/view/map/?repository=2024&project=monitoraggioacque
Monitoraggio delle qualità delle acque destinate alla vita dei molluschi,Arpa,pdf,Report su idoneità acque marine per molluschicoltura (aggiornato al 2024),https://www.arpa.sicilia.it/temi-ambientali/acque/monitoraggio-delle-acque-destinate-alla-vita-dei-molluschi/#1550061680230-c7411219-6332
Geoportale Acque Interne Superficiali e Sotterranee,Arpa,wms,Servizio WMS per visualizzazione cartografica delle risorse idriche,https://webgis.arpa.sicilia.it/lizmap/lizmap-web-client/lizmap/www/index.php/view/
Volumi invasati dalle dighe,Regione Siciliana,pdf,Dati sui volumi idrici invasati dalle dighe siciliane,https://github.com/opendatasicilia/emergenza-idrica-sicilia/tree/aaee5b149652807d3537e269ba5f56fbbff043dc/risorse#readme